iter	RMSE
0	87.1423711
1	81.44519071
2	76.51083687
3	72.39481581
4	68.25276426
5	64.59044755
6	60.99398268
7	57.78564611
8	54.55138614
9	51.82324742
10	49.03611782
11	46.80972749
12	44.79355828
13	42.82926423
14	41.05572566
15	39.58602279
16	38.27892487
17	37.29031754
18	36.07881595
19	34.85877229
20	33.77904373
21	32.92666157
22	32.09584966
23	31.24571543
24	30.67524175
25	30.01627528
26	29.38622598
27	28.73862152
28	28.18678999
29	27.69073645
30	27.24228379
31	26.71583958
32	26.21263961
33	25.83456888
34	25.54016071
35	25.27464065
36	24.81515275
37	24.61806809
38	24.37026232
39	24.18057346
40	24.08911081
41	23.89967675
42	23.40270389
43	23.31295554
44	23.03527328
45	22.92737791
46	22.62273403
47	22.49354226
48	22.34569688
49	22.20894916
50	22.05355309
51	21.95524363
52	21.48052551
53	21.12960621
54	21.02297685
55	20.94190787
56	20.87145857
57	20.78295285
58	20.68947839
59	20.52284406
60	20.26837897
61	20.19601466
62	20.09876303
63	19.90783105
64	19.62304023
65	19.54061207
66	19.46562196
67	19.38792499
68	19.31543175
69	18.9563749
70	18.8939204
71	18.83525472
72	18.57984429
73	18.52267491
74	18.46022828
75	18.40008627
76	18.21062134
77	18.14891664
78	18.08469312
79	17.8587853
80	17.79601527
81	17.7405923
82	17.68152231
83	17.37713592
84	17.02485584
85	16.9726125
86	16.92070001
87	16.86600271
88	16.81841309
89	16.61673776
90	16.27582492
91	16.22856683
92	16.18278787
93	16.13715466
94	15.93592873
95	15.89245761
96	15.64410597
97	15.60188931
98	15.55994044
99	15.36265749
100	15.07908734
101	14.8869535
102	14.84728888
103	14.80897287
104	14.55680277
105	14.26845714
106	14.05313847
107	14.01326099
108	13.96676715
109	13.93235706
110	13.83012773
111	13.56157029
112	13.51830802
113	13.47224697
114	13.43834488
115	13.40543465
116	13.21589373
117	13.10109212
118	12.88573275
119	12.85675423
120	12.68522275
121	12.50080024
122	12.41936377
123	12.34074326
124	12.27612971
125	12.2005732
126	12.04968543
127	11.97625384
128	11.89781914
129	11.82647597
130	11.75758503
131	11.69842712
132	11.61629878
133	11.41755861
134	11.33841306
135	11.273356
136	11.24304586
137	11.18165501
138	11.12296412
139	11.00407067
140	10.93604541
141	10.9075998
142	10.8117573
143	10.78482171
144	10.73253747
145	10.64647796
146	10.58307931
147	10.52936488
148	10.40489166
149	10.3789831
150	10.31842754
151	10.2507467
152	10.19243169
153	10.16443489
154	10.04699643
155	9.968935619
156	9.949459869
157	9.901979874
158	9.852819793
159	9.77659356
160	9.721943374
161	9.567960488
162	9.514797371
163	9.450343459
164	9.388537013
165	9.293720629
166	9.233818848
167	9.20989777
168	9.103801211
169	9.080385888
170	8.975504138
171	8.951022251
172	8.865373385
173	8.759465122
174	8.735313852
175	8.666878189
176	8.651447125
177	8.569962341
178	8.554847959
179	8.449595147
180	8.434770519
181	8.391582091
182	8.373541357
183	8.318377194
184	8.255610895
185	8.187325646
186	8.173610173
187	8.09903993
188	8.049891804
189	8.036650835
190	7.977118946
191	7.964299246
192	7.867752752
193	7.818419448
194	7.734576863
195	7.715377734
196	7.692870132
197	7.679192215
198	7.666014612
199	7.653664205
200	7.545806652
201	7.533821672
202	7.522243861
203	7.451982463
204	7.440688003
205	7.429768169
206	7.35094502
207	7.290420708
208	7.219880261
209	7.175029286
210	7.154198332
211	7.089301926
212	7.008493437
213	6.987939505
214	6.970687636
215	6.925798749
216	6.872669647
217	6.830103146
218	6.779559957
219	6.760505793
220	6.701152872
221	6.661958183
222	6.616673412
223	6.585686953
224	6.509666385
225	6.468851366
226	6.429301803
227	6.34162397
228	6.332206371
229	6.289200248
230	6.280203945
231	6.208431748
232	6.199649322
233	6.160034869
234	6.112551049
235	6.055119192
236	5.986945055
237	5.953582839
238	5.898405545
239	5.830426414
240	5.798314597
241	5.789657672
242	5.728529339
243	5.665194553
244	5.613889076
245	5.60558941
246	5.566518358
247	5.511321242
248	5.499861561
249	5.476379884
250	5.429397264
251	5.382801516
252	5.309746989
253	5.278460033
254	5.249197926
255	5.227169706
256	5.150188665
257	5.143014872
258	5.074916578
259	5.043276889
260	4.983795909
261	4.956967278
262	4.897725781
263	4.832422442
264	4.807334661
265	4.76902742
266	4.742098602
267	4.717030299
268	4.689062342
269	4.635646158
270	4.613261874
271	4.575330144
272	4.550616133
273	4.516684223
274	4.49494566
275	4.459132192
276	4.431835177
277	4.405476318
278	4.365185281
279	4.341460663
280	4.320871706
281	4.295128914
282	4.274999224
283	4.229061043
284	4.206421708
285	4.157053741
286	4.13811321
287	4.107388329
288	4.076933082
289	4.047806205
290	4.028717311
291	4.010593095
292	3.971047707
293	3.928877305
294	3.899933822
295	3.880574269
296	3.851629106
297	3.820485108
298	3.805963183
299	3.779074496
