iter	RMSE
0	386.087624
1	372.9504068
2	356.2048086
3	344.6301913
4	331.6731422
5	321.4077529
6	309.153947
7	299.4242585
8	291.1484779
9	281.560594
10	270.3663524
11	261.9092402
12	252.5887183
13	245.378502
14	238.033183
15	230.9382995
16	223.708707
17	218.2740813
18	213.460979
19	208.3739948
20	203.2824924
21	197.1455848
22	192.8029596
23	188.863141
24	185.6384699
25	180.5584167
26	177.537169
27	174.3548645
28	170.9659975
29	167.8497746
30	165.1953474
31	161.8921862
32	158.173887
33	154.9105699
34	151.3377954
35	148.965146
36	145.902805
37	143.5223524
38	141.3325342
39	139.8150777
40	137.5397966
41	135.7684502
42	133.8872799
43	131.623168
44	130.3037331
45	128.6063739
46	126.5489916
47	125.2743382
48	123.2681623
49	121.6595624
50	120.1589847
51	118.8586522
52	117.5703856
53	116.8164896
54	115.7188596
55	114.00206
56	112.9290594
57	111.664158
58	110.450532
59	108.7590547
60	107.3737627
61	105.9545341
62	104.8276852
63	103.3290069
64	102.1318873
65	101.0106637
66	100.4887289
67	99.51670771
68	99.20493612
69	98.47696328
70	98.19575117
71	96.58541967
72	96.17815902
73	95.86654083
74	94.74148187
75	94.19199223
76	93.60149799
77	93.36524003
78	93.07641464
79	92.37764949
80	91.77519802
81	91.25888448
82	90.36548544
83	90.14380937
84	89.81470927
85	89.45122909
86	89.22107535
87	88.714474
88	88.35568707
89	88.13929825
90	87.76087955
91	87.27895315
92	86.89820232
93	85.92919081
94	85.55714818
95	85.38719645
96	85.22255265
97	84.6714706
98	84.16938775
99	83.73771485
100	83.54455171
101	83.15692384
102	83.03529978
103	82.88987709
104	82.00878517
105	81.01036667
106	80.50785453
107	79.27100183
108	78.27247583
109	77.85315633
110	77.01450206
111	76.87659382
112	75.76150732
113	74.7532948
114	74.61795241
115	74.29540288
116	74.17745075
117	73.85810187
118	73.4842442
119	72.3751565
120	71.26998055
121	70.67771764
122	70.356162
123	70.09035116
124	69.95872784
125	69.83793733
126	69.07761675
127	68.80765472
128	68.31763888
129	68.06124547
130	67.18152963
131	67.07024922
132	66.77051434
133	66.35352426
134	66.24249956
135	65.37569917
136	64.73133306
137	64.61829067
138	64.40114116
139	63.32564968
140	62.56457719
141	61.83987045
142	61.42388013
143	60.68241171
144	60.49267121
145	59.68811538
146	59.48492934
147	58.72170107
148	58.56714654
149	57.59523038
150	57.51276143
151	56.77780933
152	56.20158365
153	55.67283652
154	55.52066353
155	54.70066796
156	54.47691005
157	53.98876751
158	53.14064458
159	52.69831494
160	52.47231898
161	51.93646218
162	51.72053226
163	51.53576723
164	50.82053479
165	50.5636392
166	50.25785534
167	49.79061511
168	49.20110576
169	48.75461836
170	48.23633447
171	48.15967623
172	48.0856039
173	47.47947786
174	46.67421679
175	46.61009634
176	46.49294811
177	45.87811482
178	45.81181439
179	45.65375751
180	45.51321761
181	45.13938549
182	45.02235468
183	44.40493918
184	43.90037875
185	43.52271185
186	43.38771784
187	42.840155
188	42.26068172
189	41.54284886
190	41.34690303
191	40.87178921
192	40.2685241
193	39.96210887
194	39.86355156
195	39.47282289
196	39.1056717
197	39.05187608
198	38.56994712
199	38.16627638
200	37.68692492
201	37.63405831
202	37.55419557
203	37.42498736
204	37.02039027
205	36.92621392
206	36.40774314
207	36.18781538
208	36.14327827
209	35.59162744
210	35.16299236
211	35.08848847
212	34.65533359
213	34.19210976
214	33.72644977
215	33.30700278
216	32.99017172
217	32.87348297
218	32.78843972
219	32.298776
220	31.81333985
221	31.3590039
222	31.28844522
223	30.9372831
224	30.62621962
225	30.24093464
226	29.88925706
227	29.52859952
228	29.19441047
229	28.97617794
230	28.51589743
231	28.18866002
232	27.91108792
233	27.72150617
234	27.68482557
235	27.57381206
236	27.50042489
237	27.17540152
238	26.82338955
239	26.45281136
240	26.2697277
241	26.1903657
242	26.07796391
243	25.9310898
244	25.61561771
245	25.32266276
246	25.229304
247	25.12120667
248	24.79284144
249	24.48438038
250	24.4010101
251	24.25353261
252	24.09703556
253	23.96700353
254	23.85226267
255	23.60522198
256	23.34959332
257	23.14083741
258	23.07911684
259	23.04707201
260	22.83759145
261	22.50809839
262	22.25073592
263	22.16984139
264	21.9191534
265	21.85870598
266	21.81108777
267	21.64075839
268	21.56545806
269	21.45516372
270	21.39723085
271	21.19569556
272	20.86752352
273	20.55339326
274	20.51860906
275	20.26761893
276	20.237929
277	20.16681166
278	20.04793072
279	19.75107053
280	19.54690678
281	19.28076939
282	19.2121522
283	19.07010116
284	18.98200893
285	18.93094926
286	18.6918979
287	18.59916705
288	18.54805499
289	18.48896355
290	18.44212074
291	18.20077261
292	18.03076145
293	17.72150292
294	17.41212281
295	17.36650528
296	17.33402729
297	17.27387658
298	17.12216954
299	17.08404925
