iter	RMSE
0	81.62130185
1	76.97434879
2	72.42897104
3	68.37397876
4	64.57341434
5	61.05732035
6	57.89754413
7	55.24610198
8	52.81620317
9	50.02397473
10	47.46116959
11	45.28407181
12	43.12106278
13	41.31545787
14	39.33496206
15	37.81213445
16	36.25042995
17	34.87599061
18	33.36444182
19	32.01597845
20	30.8478265
21	29.92453574
22	28.72899321
23	27.82947557
24	27.00345253
25	26.13189673
26	25.51339236
27	24.84546753
28	24.36366453
29	23.69406998
30	23.07845375
31	22.44497755
32	22.07419718
33	21.81731736
34	21.24946161
35	20.81780827
36	20.40685255
37	19.89416023
38	19.57800772
39	19.28326121
40	18.82648362
41	18.39824697
42	18.11766634
43	17.84114726
44	17.57150583
45	17.30024796
46	16.9611143
47	16.67255145
48	16.45232759
49	16.13518221
50	15.87808268
51	15.67413313
52	15.40131794
53	15.25608407
54	15.10456773
55	14.79234499
56	14.6818441
57	14.41004053
58	14.34235896
59	14.12846798
60	13.87565983
61	13.71590342
62	13.58801033
63	13.352372
64	13.14541351
65	13.04347837
66	12.8474004
67	12.5519931
68	12.31507267
69	12.22200451
70	12.17777211
71	12.12743406
72	11.997449
73	11.82304527
74	11.71543212
75	11.54745281
76	11.46144247
77	11.42914521
78	11.39360384
79	11.21596824
80	10.99803129
81	10.91839304
82	10.87266559
83	10.82460495
84	10.59694041
85	10.47173456
86	10.37223141
87	10.29265127
88	10.26646724
89	10.13647165
90	10.11203672
91	9.992697523
92	9.97143831
93	9.872949249
94	9.852184498
95	9.826735103
96	9.806068311
97	9.732566411
98	9.686544923
99	9.611867717
100	9.589110099
101	9.512054399
102	9.398372824
103	9.377553128
104	9.32655268
105	9.24315691
106	9.129960571
107	8.962906401
108	8.947495467
109	8.787264872
110	8.771389591
111	8.714755914
112	8.672213555
113	8.572796754
114	8.499119853
115	8.483342565
116	8.466513408
117	8.397328912
118	8.294371688
119	8.212575327
120	8.194762384
121	8.177769387
122	8.13655168
123	8.081200672
124	8.016547563
125	8.000603431
126	7.987907381
127	7.876273488
128	7.778889826
129	7.69003459
130	7.677011978
131	7.568057143
132	7.554417417
133	7.53695566
134	7.438031302
135	7.373040305
136	7.255290487
137	7.168493894
138	7.154340815
139	7.111206278
140	7.066379532
141	6.996080632
142	6.952821049
143	6.939874853
144	6.895570326
145	6.783817269
146	6.77158269
147	6.713985518
148	6.682683467
149	6.670580302
150	6.64730493
151	6.584441466
152	6.527353824
153	6.491522664
154	6.478038769
155	6.437303073
156	6.33434013
157	6.304613289
158	6.190266782
159	6.120097195
160	6.076904159
161	6.066121408
162	6.02715656
163	6.017145453
164	5.977196636
165	5.968940875
166	5.961206213
167	5.90703867
168	5.812715775
169	5.788662939
170	5.776732821
171	5.705088116
172	5.661559817
173	5.60117377
174	5.583985737
175	5.574121679
176	5.533352528
177	5.499344316
178	5.420266958
179	5.382878715
180	5.374015376
181	5.338743855
182	5.304324444
183	5.260130343
184	5.210930165
185	5.156577932
186	5.122181904
187	5.079016388
188	5.071346736
189	5.039243006
190	5.032045744
191	5.02362215
192	4.974082588
193	4.943506786
194	4.898524023
195	4.863784751
196	4.839197218
197	4.818320885
198	4.784500085
199	4.77787706
200	4.759207482
201	4.725139036
202	4.678429793
203	4.66985376
204	4.629933046
205	4.617944749
206	4.612033417
207	4.568320975
208	4.562592303
209	4.550826165
210	4.54558099
211	4.540557365
212	4.509043547
213	4.478625001
214	4.426552553
215	4.398535859
216	4.370803389
217	4.324143935
218	4.296489337
219	4.291886651
220	4.259536604
221	4.252083541
222	4.223162969
223	4.188257642
224	4.131964659
225	4.127688137
226	4.077908135
227	4.060089095
228	4.0501605
229	4.028672423
230	3.998513295
231	3.979648746
232	3.937205376
233	3.92024318
234	3.9156596
235	3.911966294
236	3.87783386
237	3.84697949
238	3.823921592
239	3.785913523
240	3.77741481
241	3.75495872
242	3.749504855
243	3.717360878
244	3.686205227
245	3.657671982
246	3.606969492
247	3.60399395
248	3.55560467
249	3.521369986
250	3.500367293
251	3.492876987
252	3.470710292
253	3.456175564
254	3.45161071
255	3.434854785
256	3.409933472
257	3.389727004
258	3.370296229
259	3.361536709
260	3.339407101
261	3.322351491
262	3.308610282
263	3.305368224
264	3.267882757
265	3.230032279
266	3.226771815
267	3.208404588
268	3.18522633
269	3.145661037
270	3.127181461
271	3.086267531
272	3.052813208
273	3.00618877
274	3.00049893
275	2.972110893
276	2.966635052
277	2.949344462
278	2.927244319
279	2.922227519
280	2.901735967
281	2.886517896
282	2.864680898
283	2.829796506
284	2.801174825
285	2.78543212
286	2.768777196
287	2.750893444
288	2.718373668
289	2.702834833
290	2.698495609
291	2.665831251
292	2.651206462
293	2.637846023
294	2.633247677
295	2.627243957
296	2.624125834
297	2.620457146
298	2.603340416
299	2.597175894
